bookid,title,author,genres,rating,numofratings,bbescores,pages,price
52,Green Eggs and Ham,Dr Seuss,Childrens,4.3,616631,497706,62,2.0
53,The Odyssey,Homer Robert,Classics,3.77,861486,494442,541,3.0
54,Life of Pi,Yann Martel,Fiction,3.91,1339076,490471,460,2.0
55,A Tale of Two Cities,Charles Dickens,Classics,3.85,810000,488900,489,1.0
56,Water for Elephants,Sara Gruen,Fiction,4.09,1379584,474329,335,3.0
58,Slaughterhouse-Five,Kurt Vonnegut,Classics,4.08,1129210,448769,275,8.0
59,Frankenstein: The 1818 Text,Mary Wollstonecraft,Classics,3.81,1162638,438548,288,8.0
62,The Giver,Lois Lowry,Young Adult,4.13,1785054,418251,208,7.0
63,Catch-22,Joseph Heller,Classics,3.98,723147,408236,453,3.0
64,Dune,Frank Herbert,Science Fiction,4.23,765785,406837,661,29.0
66,The Stand,Stephen King,Horror,4.34,616021,391883,1153,8.0
68,Watership Down,Richard Adams,Classics,4.06,433754,371182,478,5.0
69,Great Expectations,Charles Dickens,Classics,3.78,651506,367399,505,0.0
70,Little Women,Louisa May,Classics,4.09,1681583,354812,449,5.0
72,Harry Potter and the Deathly Hallows,JK Rowling,Fantasy,4.62,2811637,351347,759,2.0
75,Outlander,Diana Gabaldon,Historical Fiction,4.23,824014,342024,850,5.0
76,My Sister's Keeper,Jodi Picoult,Fiction,4.08,1056676,340746,423,2.0
77,Matilda,Roald Dahl,Childrens,4.32,647667,339882,240,6.0
82,The Color Purple,Alice Walker,Classics,4.22,521200,319385,304,13.0
83,A Tree Grows in Brooklyn,Betty Smith,Classics,4.27,388454,309492,496,5.0
84,A Clockwork Orange,Anthony Burgess,Classics,3.99,601048,302942,240,13.0
85,The Road,Cormac McCarthy,Fiction,3.97,716197,300848,241,6.0
86,The Brothers Karamazov,Fyodor Dostoyevsky,Classics,4.32,243271,299610,796,5.0
87,Angela's Ashes,Frank McCourt,Nonfiction,4.11,539576,290485,452,2.0
88,Vampire Academy,Richelle Mead,Young Adult,4.12,548959,277801,332,3.0
90,The Poisonwood Bible,Barbara Kingsolver,Fiction,4.06,658743,271161,546,4.0
91,The Golden Compass,Philip Pullman,Fantasy,3.99,1284131,257342,399,1.0
92,Don Quixote,Miguel de,Classics,3.88,209688,253824,1023,9.0
93,Atlas Shrugged,Ayn Rand,Classics,3.69,353814,248484,1168,4.0
94,Harry Potter and the Prisoner of Azkaban,JK Rowling,Fantasy,4.57,2806471,247736,435,5.0
95,The Old Man and the Sea,Ernest Hemingway,Classics,3.78,831152,235351,96,15.0
97,Winnie-the-Pooh,AA Milne,Classics,4.34,270388,219143,145,5.0
98,The Complete Stories and Poems,Edgar Allan,Classics,4.38,220153,218309,821,5.0
99,Interview with the Vampire,Anne Rice,Horror,4.0,484530,208415,342,2.0
100,A Prayer for Owen Meany,John Irving,Fiction,4.23,285954,207241,637,2.0
101,"Moby-Dick or, the Whale",Herman Melville,Classics,3.51,479125,202669,654,1.0
102,The Red Tent,Anita Diamant,Historical Fiction,4.18,520252,181001,324,5.0
103,The Secret Life of Bees,Sue Monk,Fiction,4.06,1116565,179134,302,3.0
105,Clockwork Angel,Cassandra Clare,Fantasy,4.32,666121,174623,481,4.0
107,And Then There Were None,Agatha Christie,Mystery,4.26,822061,161480,264,4.0
108,Middlesex,Jeffrey Eugenides,Fiction,4.01,581175,156896,529,3.0
110,The Master and Margarita,Mikhail Bulgakov,Classics,4.29,242684,151458,335,13.0
111,The Name of the Wind,Patrick Rothfuss,Fantasy,4.53,715936,151115,662,9.0
112,The Shining,Stephen King,Horror,4.23,1126760,150022,659,7.0
113,The Adventures of Tom Sawyer,Mark Twain,Classics,3.91,758171,147006,244,3.0
114,Eragon,Christopher Paolini,Fantasy,3.9,1437124,145002,503,2.0
115,Charlie and the Chocolate Factory,Roald Dahl,Childrens,4.14,664710,143701,176,1.0
117,On the Road,Jack Kerouac,Classics,3.62,348767,140738,307,1.0
121,The Curious Incident of the Dog in the Night-Time,Mark Haddon,Fiction,3.88,1191621,138265,226,2.0
122,The Very Hungry Caterpillar,Eric Carle,Picture Books,4.3,396110,137241,26,2.0
123,Tuesdays with Morrie,Mitch Albom,Nonfiction,4.11,782188,135685,210,3.0
124,The Unbearable Lightness of Being,Milan Kundera,Fiction,4.1,341660,135330,320,11.0
125,The Name of the Rose,Umberto Eco,Fiction,4.12,301153,132314,536,4.0
126,Where the Red Fern Grows,Wilson Rawls,Classics,4.08,342208,131268,272,5.0
127,Harry Potter and the Chamber of Secrets,JK Rowling,Fantasy,4.43,2725847,130666,341,4.0
129,The Scarlet Letter,Nathaniel Hawthorne,Classics,3.41,706272,128261,279,1.0
130,In Cold Blood,Truman Capote,Nonfiction,4.07,529229,125917,343,6.0
131,Fight Club,Chuck Palahniuk,Fiction,4.19,498931,125348,218,10.0
132,The Five People You Meet in Heaven,Mitch Albom,Fiction,3.94,578095,125048,196,3.0
133,"Hush, Hush",Becca Fitzpatrick,Young Adult,3.97,573419,124749,391,2.0
134,The Cat in the Hat,Dr Seuss,Childrens,4.17,427837,120396,61,0.0
136,The Count of Monte Cristo,Alexandre Dumas,Classics,4.25,746424,119734,1276,6.0
137,Lonesome Dove,Larry McMurtry,Fiction,4.48,149079,119713,960,4.0
138,Perfume: The Story of a Murderer,Patrick Süskind,Fiction,4.02,328171,119660,263,2.0
139,Holes,Louis Sachar,Young Adult,3.97,969512,118874,233,3.0
141,Watchmen,Alan Moore,Graphic Novels,4.36,487212,116722,416,4.0
142,It,Stephen King,Horror,4.24,802411,116529,1116,5.0
143,The Last Olympian,Rick Riordan,Fantasy,4.51,668059,116497,381,7.0
145,The Divine Comedy,Dante Alighieri,Classics,4.05,119745,114552,798,13.0
146,Peter Pan,JM Barrie,Classics,4.05,276928,113878,176,5.0
147,All Quiet on the Western Front,Erich Maria,Classics,3.98,355188,113043,296,2.0
148,"The Hobbit, or There and Back Again",JRR Tolkien,Fantasy,4.27,2896265,107478,366,4.0
149,The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare,Plays,4.44,8439,107374,137,3.0
150,Love in the Time of Cholera,Gabriel García,Fiction,3.92,412147,106643,348,3.0
151,Shadow Kiss,Richelle Mead,Young Adult,4.35,325339,105204,443,2.0
156,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,4.36,287030,97867,815,2.0
157,Atonement,Ian McEwan,Fiction,3.91,439357,97241,351,2.0
158,The Importance of Being Earnest,Oscar Wilde,Classics,4.18,302123,97145,76,5.0
159,"Eat, Pray, Love",Elizabeth Gilbert,Nonfiction,3.57,1474731,97131,368,2.0
160,Their Eyes Were Watching God,Zora Neale,Classics,3.94,265556,96044,219,14.0
162,The Wonderful Wizard of Oz,L Frank,Classics,3.98,369625,95453,154,1.0
164,Goodnight Moon,Margaret Wise,Childrens,4.28,305442,94057,32,5.0
165,The Lorax,Dr Seuss,Childrens,4.34,283383,92433,72,41.0
167,Blood Promise,Richelle Mead,Young Adult,4.32,276134,89997,503,3.0
169,The Good Earth,Pearl S,Classics,3.99,223200,88598,418,5.0
170,Heart of Darkness,Joseph Conrad,Classics,3.43,414628,88520,188,7.0
172,A Midsummer Night's Dream,William Shakespeare,Classics,3.95,442719,87403,240,3.0
173,Clockwork Princess,Cassandra Clare,Fantasy,4.57,337166,87055,567,4.0
174,The Prophet,Kahlil Gibran,Poetry,4.22,234894,86743,127,5.0
176,The Titan's Curse,Rick Riordan,Fantasy,4.35,686287,84481,320,3.0
177,The Sea of Monsters,Rick Riordan,Fantasy,4.24,748643,84023,279,1.0
178,The Joy Luck Club,Amy Tan,Fiction,3.93,597870,82631,288,4.0
179,Alice in Wonderland,Jane Carruth,Classics,4.02,376781,82199,92,5.0
180,The Call of the Wild,Jack London,Classics,3.87,341131,81356,172,5.0
181,Jonathan Livingston Seagull,Richard Bach,Fiction,3.84,202289,81140,112,4.0
183,The Phantom Tollbooth,Norton Juster,Fantasy,4.2,242124,80122,256,5.0
185,The Hunger Games Trilogy Boxset,Suzanne Collins,Young Adult,4.48,187877,79330,1155,4.0
186,"Oh, the Places You'll Go!",Dr Seuss,Childrens,4.35,328451,78977,44,5.0
187,The Girl Who Played with Fire,Stieg Larsson,Fiction,4.24,809293,78765,503,3.0
188,The Maze Runner,James Dashner,Young Adult,4.03,1056076,78429,384,3.0
189,The Neverending Story,Michael Ende,Fantasy,4.17,161944,77699,396,7.0
192,Treasure Island,Robert Louis,Classics,3.83,402027,77086,311,5.0
195,A Storm of Swords,George RR,Fantasy,4.53,666114,73986,1177,3.0
196,The Canterbury Tales,Geoffrey Chaucer,Classics,3.5,188606,73812,521,3.0
198,A Farewell to Arms,Ernest Hemingway,Classics,3.81,263216,72855,293,0.0
201,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,Fantasy,3.54,573497,69973,406,2.0
202,Shōgun,James Clavell,Historical Fiction,4.39,146776,68575,1152,7.0
203,Extremely Loud & Incredibly Close,Jonathan Safran,Fiction,3.97,380009,68087,326,2.0
204,Murder on the Orient Express,Agatha Christie,Mystery,4.17,381053,67970,347,2.0
205,His Dark Materials,Philip Pullman,Fantasy,4.25,143625,67430,1088,3.0
206,A Little Princess,Frances Hodgson,Classics,4.2,271682,67387,242,2.0
208,Schindler's List,Thomas Keneally,History,4.34,144236,67007,429,0.0
211,Last Sacrifice,Richelle Mead,Young Adult,4.39,254915,65555,594,3.0
212,The Night Circus,Erin Morgenstern,Fantasy,4.03,684622,65554,391,7.0
213,Fallen,Lauren Kate,Young Adult,3.73,494093,65456,452,4.0
214,The Silmarillion,JRR Tolkien,Fantasy,3.93,219296,64365,386,17.0
215,The Secret Magdalene,Ki Longfellow,Historical Fiction,4.07,4260,63985,448,5.0
216,Beloved,Toni Morrison,Fiction,3.87,325282,63964,324,3.0
218,A Confederacy of Dunces,John Kennedy,Fiction,3.89,231036,63046,394,5.0
220,The Selection,Kiera Cass,Young Adult,4.13,892728,62933,336,5.0
221,The Velveteen Rabbit,Margery Williams,Childrens,4.29,221550,62439,40,5.0
222,Catching Fire,Suzanne Collins,Young Adult,4.29,2514084,62004,391,3.0
223,The Lost Hero,Rick Riordan,Fantasy,4.33,624124,61758,553,10.0
225,Spirit Bound,Richelle Mead,Young Adult,4.35,260072,61129,489,4.0
226,Clockwork Prince,Cassandra Clare,Fantasy,4.44,441712,60763,498,5.0
227,The Iliad/The Odyssey,Homer Robert,Classics,4.04,62752,59800,1556,6.0
228,The Crucible,Arthur Miller,Classics,3.59,323164,59737,143,3.0
229,Cat's Cradle,Kurt Vonnegut,Fiction,4.16,338863,59087,179,5.0
230,The God of Small Things,Arundhati Roy,Fiction,3.94,244242,58369,340,3.0
231,The Wind in the Willows,Kenneth Grahame,Classics,3.98,179500,57971,197,4.0
233,Girl with a Pearl Earring,Tracy Chevalier,Historical Fiction,3.89,626689,57743,233,2.0
234,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten,Nonfiction,4.42,257383,57445,242,4.0
235,A Light in the Attic,Shel Silverstein,Poetry,4.34,374236,56943,176,12.0
236,The Silence of the Lambs,Thomas Harris,Horror,4.2,463525,56705,421,3.0
237,Shiver,Maggie Stiefvater,Young Adult,3.77,430888,56654,392,7.0
238,Uglies,Scott Westerfeld,Young Adult,3.86,560175,56436,425,3.0
239,City of Fallen Angels,Cassandra Clare,Fantasy,4.12,480909,56434,425,4.0
240,Man's Search for Meaning,Viktor E,Nonfiction,4.36,400761,56302,165,7.0
241,She's Come Undone,Wally Lamb,Fiction,3.88,316234,55867,465,1.0
242,The Phantom of the Opera,Gaston Leroux,Classics,3.96,198779,54690,360,2.0
243,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,Nonfiction,4.13,440572,54671,291,5.0
244,Ella Enchanted,Gail Carson,Fantasy,3.98,386881,54609,232,1.0
245,The Wind-Up Bird Chronicle,Haruki Murakami,Fiction,4.16,218214,54280,607,22.0
247,The Green Mile,Stephen King,Horror,4.45,248800,53135,592,17.0
249,A Clash of Kings,George RR,Fantasy,4.41,788274,52955,969,1.0
252,Marked,PC Cast,Young Adult,3.8,430068,52072,306,1.0
253,The Guernsey Literary and Potato Peel Pie Society,Mary Ann,Historical Fiction,4.17,610392,51409,291,3.0
255,Fear and Loathing in Las Vegas,Hunter S,Fiction,4.08,298919,51199,204,5.0
256,The House of the Spirits,Isabel Allende,Fiction,4.24,189801,50819,448,3.0
257,The Complete Calvin and Hobbes,Bill Watterson,Comics,4.82,34893,50709,1456,110.0
258,Roots: The Saga of an American Family,Alex Haley,Historical Fiction,4.43,146094,50100,729,3.0
259,Misery,Stephen King,Horror,4.17,498604,50005,370,1.0
260,Howl's Moving Castle,Diana Wynne,Fantasy,4.26,215856,49956,329,5.0
261,Stranger in a Strange Land,Robert A,Science Fiction,3.92,275412,49644,525,6.0
264,The Girl Who Kicked the Hornet's Nest,Stieg Larsson,Fiction,4.22,645579,48400,566,1.0
265,The Secret History,Donna Tartt,Fiction,4.09,315296,48243,559,9.0
266,White Oleander,Janet Fitch,Fiction,3.97,321703,48197,446,4.0
268,Delirium,Lauren Oliver,Young Adult,3.97,416677,47672,441,2.0
270,Othello,William Shakespeare,Classics,3.9,315131,47570,314,6.0
271,Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow,Historical Fiction,4.42,2317,47531,301,8.0
272,Paper Towns,John Green,Young Adult,3.8,919337,47375,305,1.0
273,The Vampire Lestat,Anne Rice,Horror,4.07,176682,47256,481,5.0
274,Speak,Laurie Halse,Young Adult,4.02,484810,47165,224,5.0
275,The Idiot,Fyodor Dostoyevsky,Classics,4.18,132551,47126,667,5.0
276,King Lear,William Shakespeare,Classics,3.91,180662,46840,338,3.0
277,The Once and Future King,TH White,Fantasy,4.05,100326,46527,639,2.0
278,I Know This Much Is True,Wally Lamb,Fiction,4.19,289519,46411,897,2.0
279,Neverwhere,Neil Gaiman,Fantasy,4.17,429671,46087,370,4.0
280,Into the Wild,Jon Krakauer,Nonfiction,3.99,878855,46018,207,3.0
281,Inkheart,Cornelia Funke,Fantasy,3.88,369454,45727,563,3.0
283,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,Fiction,4.24,151087,45600,444,3.0
285,The Complete Sherlock Holmes,Arthur Conan,Classics,4.48,174295,44539,1796,11.0
286,Candide,Voltaire Sara,Classics,3.77,219555,44189,129,1.0
287,James and the Giant Peach,Roald Dahl,Childrens,4.02,378763,44080,146,5.0
290,Blood River: A Journey to Africa's Broken Heart,Tim Butcher,Travel,4.06,7554,43628,363,2.0
291,Paradise Lost,John Milton,Classics,3.81,136884,43555,453,1.0
293,All Creatures Great and Small,James Herriot,Nonfiction,4.32,114546,43536,437,2.0
295,The Complete Works,William Shakespeare,Classics,4.5,50163,42988,1248,4.0
296,The Thirteenth Tale,Diane Setterfield,Fiction,3.97,272208,42961,406,1.0
297,Foundation,Isaac Asimov,Science Fiction,4.17,409745,42851,244,15.0
298,Norwegian Wood,Haruki Murakami,Fiction,4.03,347307,42790,296,13.0
299,The Things They Carried,Tim O'Brien,Fiction,4.13,253046,42780,246,3.0
300,The Cider House Rules,John Irving,Fiction,4.13,161199,42595,973,5.0
302,Different Seasons,Stephen King,Horror,4.34,176769,42522,560,3.0
303,Kafka on the Shore,Haruki Murakami,Fiction,4.13,305688,41731,467,8.0
304,Heidi,Johanna Spyri,Classics,3.99,172541,41699,352,2.0
305,"Are You There God? It's Me, Margaret",Judy Blume,Young Adult,3.9,189270,41526,149,11.0
306,City of Lost Souls,Cassandra Clare,Fantasy,4.27,423962,41154,546,5.0
307,Sophie's World,Jostein Gaarder,Philosophy,3.93,200234,41017,403,3.0
309,The Wise Man's Fear,Patrick Rothfuss,Fantasy,4.56,427730,40195,994,16.0
311,The Awakening,Kate Chopin,Classics,3.65,170636,39307,195,10.0
313,Sophie's Choice,William Styron,Fiction,4.18,81708,38844,562,4.0
314,The Prince of Tides,Pat Conroy,Fiction,4.24,193840,38129,679,7.0
315,Never Let Me Go,Kazuo Ishiguro,Fiction,3.82,471423,38106,288,6.0
316,The Son of Neptune,Rick Riordan,Fantasy,4.43,412823,37699,513,6.0
317,Dead Until Dark,Charlaine Harris,Fantasy,3.96,495821,37299,292,3.0
318,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,Fiction,4.28,265773,37166,416,16.0
319,Fifty Shades Darker,EL James,Romance,3.84,745051,36997,532,6.0
320,Ready Player One,Ernest Cline,Science Fiction,4.26,860699,36805,374,16.0
321,Middlemarch,George Eliot,Classics,3.97,135624,36618,904,5.0
322,The Monster at the End of this Book,Jon Stone,Picture Books,4.44,120014,36511,32,5.0
325,Bridget Jones's Diary,Helen Fielding,Fiction,3.78,881406,36092,288,4.0
326,Mrs. Dalloway,Virginia Woolf,Classics,3.79,223466,35980,194,1.0
327,Mockingjay,Suzanne Collins,Young Adult,4.04,2348368,35785,390,3.0
328,Franny and Zooey,JD Salinger,Fiction,3.98,185569,35744,201,4.0
329,The Power of One,Bryce Courtenay,Fiction,4.33,79286,35382,544,4.0
330,The Magician's Nephew,CS Lewis,Fantasy,4.04,410571,35290,221,2.0
331,Stardust,Neil Gaiman,Fantasy,4.08,358640,35091,248,6.0
334,Number the Stars,Lois Lowry,Historical Fiction,4.15,448419,34665,137,8.0
336,Allegiant,Veronica Roth,Young Adult,3.62,826865,34417,526,2.0
337,Eleanor & Park,Rainbow Rowell,Young Adult,4.05,860151,34316,328,1.0
338,A Short History of Nearly Everything,Bill Bryson,Nonfiction,4.2,298196,34290,544,2.0
340,Me Before You,Jojo Moyes,Romance,4.26,1148863,34172,369,3.0
341,The Mark of Athena,Rick Riordan,Fantasy,4.45,440607,34161,586,5.0
342,The Art of Racing in the Rain,Garth Stein,Fiction,4.21,451946,34060,321,5.0
343,The Way of Kings,Brandon Sanderson,Fantasy,4.63,302877,34012,1007,22.0
344,If I Stay,Gayle Forman,Young Adult,3.94,712350,33968,201,3.0
345,Black Beauty,Anna Sewell,Classics,3.96,239006,33920,245,3.0
348,A Portrait of the Artist as a Young Man,James Joyce,Classics,3.62,128028,33763,329,5.0
349,Gulliver's Travels,Jonathan Swift,Classics,3.57,231966,33672,306,3.0
350,Bel Canto,Ann Patchett,Fiction,3.93,239548,33500,352,2.0
351,American Psycho,Bret Easton,Fiction,3.82,242164,33463,399,3.0
352,V for Vendetta,Alan Moore,Graphic Novels,4.25,264288,33219,296,14.0
353,Love You Forever,Robert Munsch,Picture Books,4.36,202401,33186,32,3.0
354,The Witches,Roald Dahl,Fantasy,4.17,313894,33065,208,3.0
356,The Graveyard Book,Neil Gaiman,Fantasy,4.13,437701,32962,307,3.0
357,The Complete Novels,Jane Austen,Classics,4.56,29708,32890,1344,2.0
358,Fifty Shades Freed,EL James,Romance,3.85,713779,32676,579,4.0
359,Cold Mountain,Charles Frazier,Historical Fiction,3.86,221434,32650,356,4.0
360,White Fang,Jack London,Classics,3.98,153650,32467,252,3.0
362,Beowulf,Unknown Seamus,Classics,3.45,238815,31884,245,4.0
363,Tuck Everlasting,Natalie Babbitt,Fantasy,3.87,232167,31793,148,3.0
364,The Final Empire,Brandon Sanderson,Fantasy,4.45,401784,31753,544,20.0
365,Beautiful Creatures,Kami Garcia,Young Adult,3.76,539336,31593,563,6.0
366,Steppenwolf,Hermann Hesse,Fiction,4.13,135748,31488,256,2.0
367,Eldest,Christopher Paolini,Fantasy,3.99,355083,31381,704,3.0
368,Dark Lover,JR Ward,Romance,4.19,289077,31344,393,3.0
369,Go Ask Alice,Beatrice Sparks,Young Adult,3.76,234681,31333,213,2.0
371,The Eye of the World,Robert Jordan,Fantasy,4.17,391753,31020,814,5.0
372,The Tell-Tale Heart and Other Writings,Edgar Allan,Classics,4.17,221639,31016,448,5.0
373,As I Lay Dying,William Faulkner,Classics,3.72,136830,30850,288,3.0
374,A Separate Peace,John Knowles,Classics,3.58,190859,30697,208,2.0
375,The Complete Maus,Art Spiegelman,Graphic Novels,4.55,137596,30608,296,13.0
376,Mansfield Park,Jane Austen,Classics,3.86,284314,30080,488,3.0
377,The Amazing Adventures of Kavalier & Clay,Michael Chabon,Fiction,4.18,184040,29943,639,3.0
378,Brisingr,Christopher Paolini,Fantasy,4.05,299095,29834,748,3.0
380,"A Child Called ""It""",Dave Pelzer,Nonfiction,4.11,378898,29539,184,2.0
381,Stargirl,Jerry Spinelli,Young Adult,3.76,296407,29529,186,2.0
382,Tao Te Ching,Lao Tzu,Philosophy,4.28,117120,29378,160,8.0
383,Dear John,Nicholas Sparks,Romance,4.03,539724,29023,276,1.0
384,Midnight's Children,Salman Rushdie,Fiction,3.98,104523,28992,647,0.0
386,Salem's Lot,Stephen King,Horror,4.03,334051,28986,483,1.0
387,The Martian Chronicles,Ray Bradbury,Science Fiction,4.14,210234,28966,182,3.0
388,Crescendo,Becca Fitzpatrick,Young Adult,4.04,274616,28887,432,5.0
389,The English Patient,Michael Ondaatje,Fiction,3.88,113375,28855,320,16.0
390,East of Eden,John Steinbeck,Classics,4.38,428907,28764,601,5.0
391,Cloud Atlas,David Mitchell,Fiction,4.01,216149,28752,509,1.0
392,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M,Philosophy,3.77,200458,28737,540,4.0
393,The Martian,Andy Weir,Science Fiction,4.4,817411,28704,384,2.0
394,The Firm,John Grisham,Fiction,4.02,564260,28613,76,3.0
395,The Last Song,Nicholas Sparks,Romance,4.15,504747,28609,390,3.0
396,My Ántonia,Willa Cather,Classics,3.8,119909,28526,232,2.0
397,Shatter Me,Tahereh Mafi,Young Adult,3.95,290772,28447,338,4.0
398,The Amber Spyglass,Philip Pullman,Fantasy,4.09,298240,28439,467,1.0
399,Doctor Zhivago,Boris Pasternak,Classics,4.01,82469,28339,592,6.0
400,The Hunchback of Notre-Dame,Victor Hugo,Classics,3.99,171302,28283,510,3.0
402,Inferno,Dante Alighieri,Classics,4.0,143016,27932,490,5.0
403,Like Water for Chocolate,Laura Esquivel,Fiction,3.95,324463,27863,222,2.0
406,Dragonfly in Amber,Diana Gabaldon,Historical Fiction,4.32,287189,27247,963,4.0
407,Breakfast of Champions,Kurt Vonnegut,Fiction,4.07,222835,27035,303,2.0
408,The BFG,Roald Dahl,Fantasy,4.22,373279,27029,199,2.0
409,Six of Crows,Leigh Bardugo,Fantasy,4.43,315707,26978,465,5.0
410,Harry Potter Series Box Set,JK Rowling,Fantasy,4.73,251756,26616,4100,77.0
411,The Origin of Species,Charles Darwin,Science,3.98,99334,26616,703,5.0
412,A Fine Balance,Rohinton Mistry,Fiction,4.35,129262,26200,603,7.0
413,Daughter of Smoke & Bone,Laini Taylor,Fantasy,4.01,310751,26196,418,4.0
414,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis,Classics,3.82,384495,26156,144,3.0
415,City of Heavenly Fire,Cassandra Clare,Fantasy,4.44,288767,26082,725,8.0
416,Evermore,Alyson Noel,Young Adult,3.59,262776,26077,301,1.0
418,Death of a Salesman,Arthur Miller,Plays,3.53,185760,25760,117,3.0
419,11/22/63,Stephen King,Fiction,4.31,420225,25504,849,6.0
421,Midnight in the Garden of Good and Evil,John Berendt,Nonfiction,3.92,223939,25322,386,4.0
422,A Streetcar Named Desire,Tennessee Williams,Plays,3.98,261257,25241,107,5.0
423,Infinite Jest,David Foster,Fiction,4.28,74301,25154,1088,10.0
424,The Prince,Niccolò Machiavelli,Classics,3.82,259962,25150,140,5.0
425,Hamlet,William Shakespeare,Classics,4.02,730077,25096,289,2.0
426,"Faust, First Part",Johann Wolfgang,Classics,3.93,58269,25082,327,6.0
429,Anna and the French Kiss,Stephanie Perkins,Young Adult,4.01,363864,24862,372,3.0
430,A Feast for Crows,George RR,Fantasy,4.14,620916,24631,1061,5.0
431,The Angel Experiment,James Patterson,Young Adult,4.07,205771,24527,445,3.0
433,Matched,Ally Condie,Young Adult,3.66,653393,24354,369,1.0
434,Flowers in the Attic,VC Andrews,Fiction,3.82,160654,24342,389,8.0
435,The Shipping News,Annie Proulx,Fiction,3.86,130345,24228,337,1.0
436,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,Nonfiction,4.36,767063,24200,492,1.0
440,The Chosen,Chaim Potok,Fiction,4.04,85850,23909,304,2.0
441,High Fidelity,Nick Hornby,Fiction,3.93,173566,23790,340,2.0
443,All the Light We Cannot See,Anthony Doerr,Historical Fiction,4.33,1024442,23471,531,4.0
444,Houdini Heart,Ki Longfellow,Horror,4.22,2053,23469,254,4.0
445,Artemis Fowl,Eoin Colfer,Fantasy,3.85,495987,23315,396,4.0
446,Pippi Longstocking,Astrid Lindgren,Classics,4.13,167879,23139,160,6.0
447,The Tales of Beedle the Bard,JK Rowling,Fantasy,4.06,406565,23096,109,1.0
448,The Virgin Suicides,Jeffrey Eugenides,Fiction,3.82,229018,22976,250,2.0
